['INFO ]2023-07-03 14:30:59,863(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-User opens portal page
['INFO ]2023-07-03 16:42:37,253(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-User opens portal page
['INFO ]2023-07-03 16:42:37,694(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-user clicks Get Started button
['INFO ]2023-07-03 16:42:38,833(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-user should go to home page
['INFO ]2023-07-03 16:42:38,846(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Checking Page Title
['INFO ]2023-07-03 16:42:38,987(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-The user opens Home Page
['INFO ]2023-07-03 16:42:39,203(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Home Page - Click Get Started link
['INFO ]2023-07-03 16:42:39,649(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Home Page - warning message
['INFO ]2023-07-03 16:42:39,779(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-The user opens Home Page
['INFO ]2023-07-03 16:42:39,859(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Home Page - Click Get Started link
['INFO ]2023-07-03 16:42:40,141(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Home Page - warning message
['INFO ]2023-07-03 16:42:40,253(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-The user opens Home Page
['INFO ]2023-07-03 16:42:40,351(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Home Page - Click Get Started link
['INFO ]2023-07-03 16:42:40,548(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Home Page - warning message
['INFO ]2023-07-03 16:42:40,613(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-The user opens Home Page
['INFO ]2023-07-03 16:42:40,722(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Home Page - Click Get Started link
['INFO ]2023-07-03 16:42:40,913(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Home Page - warning message
['INFO ]2023-07-03 16:42:40,956(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-The user opens Home Page
['INFO ]2023-07-03 16:42:41,031(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Home Page - Click Get Started link
['INFO ]2023-07-03 16:42:41,230(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-Home Page - warning message
['INFO ]2023-07-03 16:42:41,293(YYYY-MM-ddHH:MM:ss.SSS][main]com.qa.util.Loggerload1)-The user opens Home Page
